Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
Kam Ross,3,11,1,3,2,1,0,0,7,0,3,0,.273,.273,.636,.909
Cameron Steinbaugh,5,12,3,5,0,1,0,4,7,3,4,2,.417,.533,.583,1.117
Trey Thompson,4,11,1,4,1,0,1,2,8,0,4,1,.364,.417,.727,1.144
Ty Cribbett,6,15,2,3,0,0,0,0,3,2,0,1,.200,.368,.200,.568
Bennett Summers,4,13,2,3,1,0,0,0,4,0,0,2,.231,.231,.308,.538
Gabe Peters,1,3,0,1,0,0,0,0,1,0,0,1,.333,.333,.333,.667
Will Vogel,6,16,1,4,1,0,0,3,5,1,3,0,.250,.294,.313,.607
Drew Wichtowski,4,5,0,1,0,0,0,1,1,0,1,0,.200,.375,.200,.575
Brandon Schultz,4,13,2,6,0,0,0,1,6,1,5,2,.462,.500,.462,.962
Adan Nieves,4,11,1,2,1,0,0,1,3,1,4,2,.182,.250,.273,.523
Sam DesCarpentrie,6,18,3,4,0,0,1,3,7,2,9,0,.222,.300,.389,.689
Kaden Griswold,4,9,0,2,0,0,0,0,2,0,7,1,.222,.222,.222,.444
Nolan Bowles,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Clint Goodman,4,10,1,2,0,0,0,0,2,1,4,0,.200,.333,.200,.533
Braden Deverman,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Lucas Rink,2,6,1,1,0,0,0,3,1,2,0,0,.167,.333,.167,.500
Total,6,157,18,41,6,2,2,18,57,13,46,12,.261,.337,.363,.700
