Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS
Grayson Schnierle,5,12,3,4,1,0,0,1,5,1,4,2,.333,.429,.417,.845
Jake Morrill,5,8,5,3,0,0,0,1,3,2,1,2,.375,.500,.375,.875
Michael Lucas,6,15,3,2,1,0,0,1,3,5,3,0,.133,.381,.200,.581
Cameron Anderson,5,14,3,2,0,0,0,0,2,1,3,1,.143,.200,.143,.343
Ethan Hamrick,6,17,5,6,1,0,1,7,10,1,5,2,.353,.400,.588,.988
Andrew Schweigert,2,3,0,1,0,0,0,1,1,0,1,1,.333,.333,.333,.667
Riley Hendren,4,14,3,5,0,2,0,3,9,0,2,2,.357,.357,.643,1.000
Trey Schilling,4,12,4,2,0,0,0,1,2,1,3,0,.167,.231,.167,.397
Trey Blanchette,5,12,0,3,1,0,0,1,4,2,3,0,.250,.333,.333,.667
Owen Laroe,5,9,4,1,0,0,0,1,1,4,1,0,.111,.385,.111,.496
Nolan Hunter,6,9,1,1,0,0,0,0,1,0,4,2,.111,.111,.111,.222
Cal Darling,4,9,1,2,1,0,0,4,3,2,3,1,.222,.364,.333,.697
Braxton Waller,6,9,3,5,1,0,0,7,6,2,0,2,.556,.583,.667,1.250
Jacob Trusner,6,12,2,2,0,0,0,0,2,2,7,0,.167,.286,.167,.452
Total,6,156,38,40,6,2,2,29,56,23,40,15,.256,.357,.359,.716
