"","","","Batting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pitching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fielding","","","","","","","","","","","","","",""
"Number","Last","First","GP","PA","AB","AVG","OBP","OPS","SLG","H","1B","2B","3B","HR","RBI","R","BB","SO","K-L","HBP","SAC","SF","ROE","FC","SB","SB%","CS","PIK","QAB","QAB%","PA/BB","BB/K","C%","HHB","LD%","FB%","GB%","BABIP","BA/RISP","LOB","2OUTRBI","XBH","TB","PS","PS/PA","2S+3","2S+3%","6+","6+%","AB/HR","GIDP","GITP","CI","IP","GP","GS","BF","#P","W","L","SV","SVO","BS","SV%","H","R","ER","BB","SO","K-L","HBP","ERA","WHIP","LOB","BK","PIK","CS","SB","SB%","WP","BAA","P/IP","P/BF","<3%","LOO","1ST2OUT","123INN","<13","FIP","S%","FPS%","FPSO%","FPSW%","FPSH%","BB/INN","0BBINN","BBS","LOBB","LOBBS","SM%","K/BF","K/BB","WEAK%","HHB%","GO/AO","HR","LD%","FB%","GB%","BABIP","BA/RISP","FB","FBS","FBS%","FBSW%","FBSM%","CT","CTS","CTS%","CTSW%","CTSM%","CB","CBS","CBS%","CBSW%","CBSM%","SL","SLS","SLS%","SLSW%","SLSM%","CH","CHS","CHS%","CHSW%","CHSM%","OS","OSS","OSS%","OSSW%","OSSM%","TC","A","PO","FPCT","E","DP","TP","INN","PB","SB","SB-ATT","CS","CS%","PIK","CI"
"1","Michalak","Max","4","10","7",".143",".222",".365",".143","1","1","0","0","0","1","3","0","0","0","1","1","1","1","1","1","100.0","0","0","2","20.00","-",".000","100.0","0","0.00","66.67","22.22",".125",".000","5","0","0","1","26","2.600","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","4","1","2",".750","1","0","0","0.0","0","0","0-0","0","-","0","0"
"2","Veselack","Brady","5","18","12",".167",".444",".611",".167","2","2","0","0","0","1","4","6","4","2","0","0","0","0","0","3","100.0","0","0","10","55.56","3.0","1.500","66.67","0","0.00","25.00","75.00",".250",".000","6","0","0","2","83","4.611","5","27.78","9","50.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","3","2","1","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0"
"3","Lapp","Kyler","5","21","15",".400",".571","1.171",".600","6","5","0","0","1","8","5","5","1","1","1","0","0","0","0","1","100.0","0","0","11","52.38","4.2","5.000","93.33","5","28.57","50.00","21.43",".385",".500","10","3","1","9","80","3.810","1","4.76","2","9.52","15.0","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","13","6","6",".923","1","0","0","0.0","0","0","0-0","0","-","0","0"
"4","Spidle","Zach","6","20","12",".083",".400",".567",".167","1","0","1","0","0","5","4","5","4","0","2","0","1","0","1","1","100.0","0","0","12","60.00","4.0","1.250","66.67","2","22.22","55.56","22.22",".111",".200","9","3","1","2","93","4.650","2","10.00","6","30.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","13","2","11","1.000","0","0","0","0.0","0","0","0-0","0","-","0","0"
"5","Wisdom","Jack","0","0","0",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0.00","0.0",".000","0.00","0","0.00","0.00","0.00",".000",".000","0","0","0","0","0",".000","0","0.00","0","0.00","0.0","0","0","0","3.0","1","1","15","60","0","0","0","0","0","-","3","3","1","2","3","1","0","2.333","1.667","3","0","0","0","3","100.0","0",".250","20.0","4.000","33.33","1","0","0","0","3.177","58.33","66.67","70.00","20.00","10.00",".667","1","0","0","0","6.67",".200","1.500","90.00","10.00","2.000","0","10.00","40.00","50.00",".300",".167","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","0","-","0","0","0","0.0","0","0","0-0","0","-","0","0"
"6","Strehl","Will","3","9","6",".333",".556",".889",".333","2","2","0","0","0","1","2","0","1","0","3","0","0","0","0","1","50.00","1","0","1","11.11","-",".000","83.33","1","20.00","0.00","80.00",".400",".250","7","1","0","2","27","3.000","0","0.00","0","0.00","-","0","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","10","2","7",".900","1","0","0","6.0","0","2","2-3","1","33.33","0","0"
"7","Hale","Connor","0","0","0",".000",".000",".000",".000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0.00","0.0",".000","0.00","0","0.00","0.00","0.00",".000",".000","0","0","0","0","0",".000","0","0.00","0","0.00","0.0","0","0","0","3.0","3","0","15","48","0","0","1","1","0","100.0","4","1","1","1","3","2","1","2.333","1.667","5","0","0","0","0","-","0",".308","16.0","3.200","46.67","3","2","0","2","3.177","62.50","53.33","75.00","0.00","25.00",".333","2","1","0","0","10.42",".200","3.000","60.00","40.00",".500","0","10.00","50.00","40.00",".400",".250","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","-","-","-","0","0","0","-","0","0","0","0.0","0","0","0-0","0","-","0","0"
"8","Hackman","Kaileb","4","16","14",".786",".813","2.098","1.286","11","8","1","0","2","6","5","1","0","0","1","0","0","0","0","2","100.0","0","0","13","81.25","16.0",".000","100.0","9","35.71","21.43","42.86",".750","1.000","1","1","3","18","46","2.875","1","6.25","3","18.75","7.0","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0","0",".000",".000","0","0","0","0","0","0.00","0",".000","0.0",".000","0.00","0","0","0","0",".000","0.00","0.00","0.00","0.00","0.00",".000","0","0","0","0","0.00",".000",".000","0.00","0.00",".000","0","0.00","0.00","0.00",".000",".000","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","2","0","1",".500","1","0","0","0.0","0","0","0-0","0","-","0","0"
